g++ -fopenmp -o main main.cpp
| Threads | N | Avg time (Seq) (ms) | Avg time (OMP) (ms) | Speedup |
| ------- |---| ------------------- | ------------------- | ------- |
| 2 | 1000000 | 6.14711 | 6.84384 | 0.898197 |
| 2 | 2000000 | 12.349 | 13.642 | 0.905218 |
| 2 | 3000000 | 18.7492 | 21.1725 | 0.885543 |
| 2 | 4000000 | 24.5596 | 27.4071 | 0.896104 |
| 2 | 5000000 | 30.6714 | 34.161 | 0.897848 |
| 2 | 6000000 | 36.765 | 40.9983 | 0.896744 |
| 2 | 7000000 | 43.3712 | 48.0441 | 0.902737 |
| 2 | 8000000 | 49.5421 | 54.9397 | 0.901753 |
| 2 | 9000000 | 54.8437 | 61.673 | 0.889266 |
| 2 | 10000000 | 61.3151 | 70.5308 | 0.869338 |
| ------- |---| ------------------- | ------------------- | ------- |
| 4 | 1000000 | 6.23458 | 3.44651 | 1.80896 |
| 4 | 2000000 | 12.3555 | 6.84888 | 1.80402 |
| 4 | 3000000 | 18.529 | 10.3448 | 1.79115 |
| 4 | 4000000 | 24.5785 | 13.6958 | 1.79459 |
| 4 | 5000000 | 37.3856 | 21.0892 | 1.77273 |
| 4 | 6000000 | 36.8135 | 20.782 | 1.77141 |
| 4 | 7000000 | 44.7064 | 24.7138 | 1.80897 |
| 4 | 8000000 | 49.0091 | 27.3744 | 1.79033 |
| 4 | 9000000 | 55.8478 | 31.7654 | 1.75813 |
| 4 | 10000000 | 62.2262 | 34.9272 | 1.7816 |
| ------- |---| ------------------- | ------------------- | ------- |
| 8 | 1000000 | 7.43955 | 2.08745 | 3.56394 |
| 8 | 2000000 | 12.2628 | 3.4356 | 3.56934 |
| 8 | 3000000 | 18.5201 | 5.17478 | 3.57891 |
| 8 | 4000000 | 24.651 | 6.89381 | 3.57581 |
| 8 | 5000000 | 30.8679 | 8.86305 | 3.48276 |
| 8 | 6000000 | 36.8092 | 10.2873 | 3.57813 |
| 8 | 7000000 | 42.9332 | 11.9917 | 3.58023 |
| 8 | 8000000 | 49.04 | 13.708 | 3.57748 |
| 8 | 9000000 | 55.1261 | 16.2689 | 3.38842 |
| 8 | 10000000 | 61.8673 | 17.2359 | 3.58944 |
| ------- |---| ------------------- | ------------------- | ------- |
| 16 | 1000000 | 6.1392 | 0.905192 | 6.78221 |
| 16 | 2000000 | 12.3226 | 1.93853 | 6.35667 |
| 16 | 3000000 | 18.7812 | 2.6261 | 7.15174 |
| 16 | 4000000 | 24.5086 | 3.87811 | 6.31973 |
| 16 | 5000000 | 30.564 | 4.35826 | 7.01289 |
| 16 | 6000000 | 36.7813 | 5.24011 | 7.01919 |
| 16 | 7000000 | 43.0264 | 6.21369 | 6.92446 |
| 16 | 8000000 | 48.8786 | 6.95952 | 7.02328 |
| 16 | 9000000 | 54.926 | 7.84284 | 7.00334 |
| 16 | 10000000 | 61.9306 | 8.87595 | 6.97735 |
| ------- |---| ------------------- | ------------------- | ------- |
| 32 | 1000000 | 6.09912 | 3.1835 | 1.91585 |
| 32 | 2000000 | 16.0546 | 1.10533 | 14.5247 |
| 32 | 3000000 | 24.0895 | 2.15211 | 11.1934 |
| 32 | 4000000 | 24.4953 | 1.97336 | 12.413 |
| 32 | 5000000 | 30.4783 | 2.24099 | 13.6004 |
| 32 | 6000000 | 47.7387 | 3.22462 | 14.8045 |
| 32 | 7000000 | 42.864 | 3.31866 | 12.9161 |
| 32 | 8000000 | 48.8302 | 3.49501 | 13.9714 |
| 32 | 9000000 | 54.9348 | 4.51011 | 12.1804 |
| 32 | 10000000 | 61.0797 | 4.93918 | 12.3664 |
| ------- |---| ------------------- | ------------------- | ------- |
| 64 | 1000000 | 6.20154 | 1.70896 | 3.62883 |
| 64 | 2000000 | 12.1254 | 2.27641 | 5.32654 |
| 64 | 3000000 | 18.2182 | 2.93244 | 6.21264 |
| 64 | 4000000 | 24.4153 | 3.95159 | 6.17861 |
| 64 | 5000000 | 30.4608 | 4.03571 | 7.54781 |
| 64 | 6000000 | 36.6181 | 5.001 | 7.32215 |
| 64 | 7000000 | 43.3415 | 5.52984 | 7.83775 |
| 64 | 8000000 | 49.8982 | 6.34575 | 7.86325 |
| 64 | 9000000 | 55.0807 | 6.65583 | 8.27555 |
| 64 | 10000000 | 61.0623 | 7.52673 | 8.11273 |
| ------- |---| ------------------- | ------------------- | ------- |
